#{"t_start": 1655324826.9617455, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-120.600599,51,26.864719
-124.510659,55,52.110099
-56.853988,25,64.286133
-272.130167,147,134.735016
-160.463226,80,172.163019
-276.952041,149,242.807065
-304.742348,157,318.249067
-150.101019,67,350.384117
-238.340201,120,406.768685
-47.390704,20,415.76928
-264.335471,143,486.04723
-222.423385,115,540.536221
-35.578549,19,549.783584
-42.21473,18,558.003067
-245.438707,114,615.244767
-161.870387,76,651.469722
-50.826135,22,662.165442
-57.085046,23,673.02628
-244.41317,116,728.657792
-219.544922,106,781.175882
-294.389302,142,849.844579
-91.493148,40,868.482135
-235.535429,103,917.047291
-260.539955,127,975.659049
-96.080109,43,995.480701
-310.800566,159,1069.369652
-145.330366,77,1105.214779
-152.492533,73,1141.48795
-80.779957,34,1158.928729
-289.791337,136,1223.273283
-176.6786,87,1264.847151
-177.443761,81,1304.031111
-135.024492,59,1331.989864
-13.017356,5,1334.162142
-138.867886,62,1363.839284
-162.291676,77,1399.522687
-144.283857,76,1436.696419
-252.818407,115,1494.060817
-97.164288,40,1512.781152
-147.134187,64,1543.969093
-88.086835,42,1563.961903
-198.572933,99,1611.846664
-112.768769,50,1637.08715
-124.322799,65,1668.144605
-224.274103,98,1715.310434
-9.88473,4,1717.550793
-85.59177,41,1738.867111
-163.761197,81,1779.548326
-207.395549,99,1829.608742
-201.121892,100,1880.005375
-36.091163,14,1886.446977
-162.029246,71,1922.448087
-168.441754,71,1956.906977
-98.911161,43,1978.069551
-94.042285,43,1999.026082
-37.31905,15,2005.674559
-173.203427,74,2040.098356
-117.536661,51,2065.087817
-47.32423,22,2075.311538
-228.474414,119,2132.761563
-103.977326,53,2157.955294
-225.108575,108,2208.589685
-84.129142,37,2225.97208
-172.381161,93,2270.220057
-255.847968,113,2323.881461
-52.764512,20,2332.993233
-285.109564,133,2395.608147
-76.414174,31,3860.508811
-19.798612,8,3864.1492
-129.548932,55,3890.246983
-156.574183,70,3924.190668
-104.650545,47,3946.219035
-114.252643,49,3968.563318
-46.943441,18,3978.17836
-117.661263,50,4002.757264
-210.69944,98,4049.403449
-144.002274,63,4078.260607
-51.187235,22,4088.046329
-7.145508,3,4089.214351
-145.944606,65,4122.932697
-149.371859,74,4160.844698
-300.372413,140,4231.320335
-131.311157,52,4259.38296
-200.813842,93,4304.825694
-218.418696,91,4347.504611
-102.381588,43,4367.776006
-109.820439,52,4393.505416
