#{"t_start": 1655313035.5831993, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-7629.972291,1001,171.363204
-7278.616021,1001,340.463793
-8161.216523,1001,510.176713
-7407.545025,1001,678.74591
-2.404455,1,678.944527
-7890.607726,1001,912.060871
-6814.118466,1001,1080.447314
-7499.3538,1001,1248.565261
-4949.987978,1001,1416.670861
-6771.30911,1001,1584.334752
-6669.126341,1001,1817.822434
-7195.080711,1001,1985.538373
-4839.04838,1001,2154.068401
-4465.004875,1001,2322.419977
-7742.965939,1001,2490.211534
-8166.260542,1001,2717.851552
-8399.10217,1001,2886.202121
-6403.787264,1001,3055.215749
-8263.663185,1001,3223.604006
-7093.994049,1001,3392.440084
-7825.011303,1001,3624.94334
-4335.512519,1001,3792.810277
-6929.506693,1001,3961.124195
-7911.83259,1001,4128.708439
-0.863785,1,4128.863173
-3403.796336,1001,4297.240366
-7408.523623,1001,4528.631522
-8761.721296,1001,4696.766941
-8054.464505,1001,4863.612908
-7856.221916,1001,5030.612784
-5514.921354,1001,5197.653523
-7489.210444,1001,5428.760935
-7546.799985,1001,5596.52888
-7423.196043,1001,5763.835088
-4617.833682,1001,5931.215703
-7207.902693,1001,6098.132365
-8303.856577,1001,6329.191991
-8123.445887,1001,6496.246197
-6273.981006,1001,6663.657989
-8344.154984,1001,6831.146184
-8187.624522,1001,6999.018753
-6948.867627,1001,7233.644553
-5557.995992,1001,7401.691938
-6180.688485,1001,7570.799016
-6660.53815,1001,7740.026051
-5367.315672,1001,7908.484803
-7591.353849,1001,8143.640121
-3.002777,1,8143.873978
-6541.136454,1001,8313.957181
-7418.976645,1001,8482.834091
-7863.451024,1001,8653.10317
-8606.565632,1001,8823.789778
-8506.434385,1001,9107.053346
-4.688316,1,9107.253351
-6402.140367,1001,9278.826362
-7997.533333,1001,9450.909792
-5719.631304,1001,9621.18361
-7996.016081,1001,9790.099742
-7127.274285,1001,10026.461129
-7316.764952,1001,10199.133443
-5993.463507,1001,10370.018192
-7016.802281,1001,10540.986294
-7093.768301,1001,10715.099618
-7517.222436,1001,10950.973056
-7563.019576,1001,11120.710467
-8386.764084,1001,11289.446723
-8111.576823,1001,11457.486253
-7341.898275,1001,11625.075828
-6908.981707,1001,11857.065526
-8032.944009,1001,12025.374662
-7782.323497,1001,12194.225544
-7937.139199,1001,12363.887277
-5649.83324,1001,12533.01039
-6373.89039,1001,12767.057458
-7015.008908,1001,12936.292576
-7068.161558,1001,13107.141047
-7421.254031,1001,13277.672468
-6458.375345,1001,13446.939175
-6869.413444,1001,13681.080312
-8177.271085,1001,13851.203654
-7367.10267,1001,14021.532756
-4758.854025,1001,14190.633277
-3.224613,1,14190.841169
-8225.410667,1001,14360.259709
-8360.064949,1001,14591.038385
-8474.880729,1001,14760.363467
-3.321632,1,14760.540393
-7967.473668,1001,14930.021021
-5273.541498,1001,15100.636656
-8064.833878,1001,15271.596686
-8620.024044,1001,15503.264399
-7316.757862,1001,15672.962348
-5108.63377,1001,15842.322649
-6699.284893,1001,16011.110786
-7775.951725,1001,16180.051178
-6799.838065,1001,16409.311397
-8764.681963,1001,16578.91071
-8017.240348,1001,16748.594134
-8150.879389,1001,16917.634975
-3.93855,1,16917.806115
-6658.804241,1001,17086.798139
-7792.825834,1001,17317.13033
-7649.732569,1001,17487.984329
-4863.09447,1001,17659.497745
-8654.771513,1001,17830.581096
-8537.624235,1001,18001.510961
-6491.106253,1001,18235.216834
-6170.570205,1001,18405.933373
-7522.87418,1001,18577.050151
-4452.362796,1001,18747.574723
-7854.431528,1001,18917.724259
-5587.165658,1001,19152.789846
-2.677176,1,19152.994846
-8645.612516,1001,19323.126384
-8217.81998,1001,19492.768319
-7547.240997,1001,19663.380509
-7356.602147,1001,19832.330803
-7363.393219,1001,20068.899925
-7133.605737,1001,20238.321657
-5572.776725,1001,20407.971316
-7389.698063,1001,20577.206364
-8379.402378,1001,20747.174555
-5323.156369,1001,20985.204872
-7666.879485,1001,21156.118085
-3656.847595,1001,21326.247641
-7198.08478,1001,21496.013377
-4718.303086,1001,21665.735287
-6794.965596,1001,21895.017567
-8123.184052,1001,22064.67378
-5.513835,1,22064.798883
-3.827355,1,22064.956861
-4051.496168,1001,22234.155407
-7397.902393,1001,22403.696226
-8985.287676,1001,22573.06605
-7971.205535,1001,22804.936654
-7591.338806,1001,22974.323489
-8265.239146,1001,23143.84379
-7240.733818,1001,23312.714342
-7767.651472,1001,23482.208936
-6698.036731,1001,23714.225521
-6458.041458,1001,23883.594187
-8823.052927,1001,24052.165781
-7031.710199,1001,24221.02629
-8997.565108,1001,24390.525539
-2.792381,1,24390.696937
-7937.486972,1001,24619.144848
-7938.611009,1001,24789.020102
-4039.390321,1001,24960.555355
-8040.740885,1001,25130.509655
-6964.535235,1001,25302.078018
-7386.408421,1001,25537.706402
-7654.435341,1001,25707.635399
-7461.783132,1001,25877.226677
-4622.888537,1001,26046.79495
-7794.439405,1001,26215.607117
-6574.729336,1001,26448.668263
-5525.648858,1001,26618.338176
-7752.545622,1001,26786.517519
-7707.53302,1001,26957.591816
-7677.637588,1001,27129.659861
-8630.736375,1001,27364.685521
-7253.593854,1001,27536.597229
-4667.713214,1001,27708.979184
-7661.317292,1001,27882.587184
-1.327678,1,27882.781394
-6896.975632,1001,28051.428344
-7077.731783,1001,28285.474397
-1.124852,1,28285.668094
-8273.890963,1001,28454.736024
-7219.970002,1001,28624.427398
-6375.244071,1001,28793.966992
-2.808723,1,28794.149735
-6754.32158,1001,28963.875268
-6887.100724,1001,29196.686134
-8502.423833,1001,29366.37585
-8068.536099,1001,29535.662115
-7661.745175,1001,29704.875367
-6999.509545,1001,29874.221774
-8751.971898,1001,30108.373134
-8709.613818,1001,30279.095598
-7981.068401,1001,30449.377233
-8116.658284,1001,30619.749882
-6833.325049,1001,30790.273463
-3039.612236,1001,31023.379086
-4534.766349,1001,31193.235936
-8174.739475,1001,31363.136655
-6597.709971,1001,31532.722815
-7921.255938,1001,31702.437045
-7925.366508,1001,31936.475276
-7953.18347,1001,32106.385624
-4749.861991,1001,32276.902594
-5126.059944,1001,32446.408303
-7546.427317,1001,32616.44601
-6881.400376,1001,32851.116356
-5276.158519,1001,33021.033002
-7650.921707,1001,33190.865401
-2.910615,1,33191.035876
-7315.524018,1001,33360.772682
-2.412159,1,33360.956571
-8055.824796,1001,33531.288478
-8448.133905,1001,33765.711938
-4389.428788,1001,33936.192688
-3906.391613,1001,34106.3297
-7404.202489,1001,34275.69694
-6958.42528,1001,34445.532073
-6161.463201,1001,34679.040139
-6042.785076,1001,34849.170662
-1.427992,1,34849.315258
-7050.453574,1001,35019.285511
-7585.94492,1001,35189.089151
-7419.674423,1001,35359.312151
-6212.736901,1001,35594.91058
-5756.874327,1001,35765.61139
-7407.46267,1001,35935.273292
-7113.475209,1001,36105.525346
-7879.469994,1001,36274.976304
-7473.477653,1001,36510.396612
-6837.750928,1001,36679.438432
-6604.072568,1001,36849.654196
-7349.212429,1001,37020.529733
-8067.214018,1001,37190.808278
-6130.225646,1001,37427.99028
-4355.372441,1001,37597.966366
-8466.748291,1001,37767.344547
-6623.857995,1001,37938.347064
-6004.705338,1001,38108.911936
-6209.811764,1001,38345.538857
-7684.822549,1001,38515.992555
-5294.551601,1001,38686.227835
-7857.573123,1001,38856.958563
-5691.402192,1001,39028.067041
-2.921653,1,39028.255471
-7608.634549,1001,39265.799433
-8188.229843,1001,39435.927278
-7693.236789,1001,39606.532477
-5509.985108,1001,39777.507777
-7858.863264,1001,39948.212661
-7454.362415,1001,40185.030224
-7451.6891,1001,40355.664237
-4781.21802,1001,40525.824564
-1.964917,1,40525.992679
-8137.847338,1001,40696.594316
-8542.480685,1001,40867.316643
-6938.777076,1001,41104.857863
-8018.861502,1001,41275.678349
-5.557608,1,41275.837728
-7166.55414,1001,41446.595222
-6708.72965,1001,41617.291569
-7179.825489,1001,41787.234311
-0.661591,1,41787.373719
-4178.879811,1001,42022.534351
-5455.699072,1001,42193.214908
-5394.858998,1001,42363.393986
-6107.513701,1001,42533.231895
-8195.124444,1001,42703.355102
-6033.739007,1001,42940.18841
-5473.032458,1001,43110.443974
-8369.479376,1001,43281.134134
-8642.038072,1001,43451.324529
-3.547665,1,43451.445653
-6787.901858,1001,43620.461743
-3933.641457,1001,43851.989718
-4829.327527,1001,44021.544119
-6718.425012,1001,44190.657139
-7671.486785,1001,44360.043986
-7074.401227,1001,44529.443268
-5389.463838,1001,44761.546181
-8266.136207,1001,44930.946037
-7414.738612,1001,45100.254326
-8834.764712,1001,45269.623288
-4786.496253,1001,45438.488088
-6640.506971,1001,45669.875927
-3971.412404,1001,45839.056482
-8015.861076,1001,46008.264443
-8203.224181,1001,46177.495508
-8265.162669,1001,46347.981767
-7244.153831,1001,46584.033219
-6145.112752,1001,46753.575755
-1.457152,1,46753.747046
-4098.553081,1001,46923.916677
-8844.384254,1001,47094.303983
-7815.9802,1001,47264.887484
-1.999947,1,47265.129897
-7299.181622,1001,47495.318431
-2.855171,1,47495.44971
-4.681055,1,47495.660786
-6960.338225,1001,47665.455939
-8858.161059,1001,47835.40981
-6585.689129,1001,48005.453142
-8435.752352,1001,48174.730627
-4872.345241,1001,48404.901974
-3.539576,1,48405.097404
-7705.92291,1001,48574.810112
-4.119308,1,48575.04775
-4792.786212,1001,48744.666106
-4478.945026,1001,48914.656815
-6911.092105,1001,49085.876867
-6166.679983,1001,49321.839446
-7943.011726,1001,49493.350829
-6105.8136,1001,49667.634243
-5753.527996,1001,49837.626025
-6586.882121,1001,50008.931808
-6697.118754,1001,50271.917487
-3605.909298,1001,50442.89005
-7436.16086,1001,50613.03333
-6880.617997,1001,50784.125632
-8136.259239,1001,50955.783658
-4.472421,1,50956.030365
-5709.982009,1001,51191.515755
-8039.63671,1001,51361.699537
-4521.200635,1001,51533.142002
-4264.565435,1001,51707.773547
-7458.346308,1001,51881.156783
-5992.41467,1001,52118.845981
-6612.639919,1001,52289.541874
-8444.183064,1001,52463.580884
-3.22365,1,52463.756226
-8850.881776,1001,52639.421728
-6858.236725,1001,52815.221963
-4666.785852,1001,53055.996785
-6286.739512,1001,53228.664561
-8314.442505,1001,53398.658238
-6320.409998,1001,53572.284451
-6242.821558,1001,53745.363327
-2.940707,1,53745.502223
-8309.406873,1001,54006.595251
-8199.397016,1001,54178.76416
-7791.49566,1001,54349.397611
-5685.035428,1001,54524.316321
-5170.436228,1001,54694.73654
-6212.783101,1001,54938.987018
-4769.986678,1001,55108.25964
-8209.664179,1001,55276.148816
-8606.561998,1001,55444.024786
-3803.918949,1001,55612.37562
-8032.907988,1001,55843.869357
-6866.884831,1001,56012.901694
-7239.69596,1001,56181.459427
-7053.192563,1001,56350.401577
-7749.764189,1001,56520.163275
-3.882532,1,56520.360037
-7173.511062,1001,56752.989124
-6165.853138,1001,56923.757794
-7178.747378,1001,57093.003886
-8265.159247,1001,57262.434429
-7222.375226,1001,57433.042952
-7380.514715,1001,57675.176594
-7986.476714,1001,57844.645709
-7527.931846,1001,58014.061358
-8126.860856,1001,58183.264968
-7042.004699,1001,58352.652261
-5.20551,1,58352.848478
-6037.056077,1001,58588.844322
-7504.234186,1001,58758.512762
-8540.996369,1001,58928.680266
-7708.600437,1001,59099.001201
-4743.213675,1001,59267.946414
-8215.716277,1001,59500.856474
-6868.696773,1001,59671.10793
-5978.547078,1001,59843.923773
-8433.635078,1001,60014.54798
-5253.363243,1001,60185.743313
-6914.641787,1001,60425.271854
-6892.128638,1001,60596.092435
-6012.176088,1001,60766.162715
-8748.864339,1001,60937.037667
-8961.129172,1001,61106.146321
-6839.418531,1001,61346.319622
-4407.44745,1001,61515.940174
-6813.081885,1001,61685.949726
-6369.716054,1001,61856.369331
-5121.365878,1001,62026.339383
-6949.915103,1001,62260.404699
-7803.72947,1001,62431.247427
-7365.074828,1001,62601.862994
-7738.876765,1001,62772.651855
-6048.105408,1001,62947.349818
-7536.638104,1001,63195.313413
-6289.734253,1001,63373.890651
-7714.656009,1001,63551.217957
-9039.635622,1001,63726.658201
-3827.635746,1001,63903.154201
-7214.87424,1001,64150.092944
-7598.776943,1001,64326.776421
-6494.75277,1001,64504.954439
-8334.097202,1001,64682.494598
-4438.292574,1001,64863.649074
-2043.121935,402,64931.640396
-5957.862384,1001,65196.386142
-1.091521,1,65196.534047
-7489.806668,1001,65373.764219
-5504.141223,1001,65550.836957
-1.519605,1,65551.01333
-5653.366406,1001,65728.505849
-8142.490295,1001,65907.620024
-2.504,1,65907.799067
-7156.121214,1001,66153.441626
-7134.767182,1001,66331.542803
-3935.05148,1001,66509.209541
-7757.926227,1001,66687.525829
-7381.010981,1001,66865.124373
-6642.500254,1001,67111.810852
-541.035503,130,67133.878802
-7365.049035,1001,67310.835463
-7207.881369,1001,67487.414419
-7473.751475,1001,67665.033356
-7724.98857,1001,67842.091534
-5000.477831,1001,68087.24037
-6396.177324,1001,68263.90721
-8834.413397,1001,68441.322819
-8163.733584,1001,68617.288905
-8435.34028,1001,68792.862786
-6996.243097,1001,69054.763683
-7302.957068,1001,69230.169513
-5937.606435,1001,69407.226732
-8022.754787,1001,69582.74555
-7003.638462,1001,69756.929806
-7912.400316,1001,70001.995945
-6954.034061,1001,70177.747794
-7139.457122,1001,70353.533889
-4479.599652,1001,70523.08367
-6042.052901,1001,70695.698261
-7423.929774,1001,70926.834639
-7843.4013,1001,71095.406878
-6779.729393,1001,71264.957397
-7645.476682,1001,71434.704397
-7957.757027,1001,71609.648037
-5669.093135,1001,71843.907476
-4753.910024,1001,72016.333983
-7352.085811,1001,72188.781067
-8248.875903,1001,72361.830559
-3.501726,1,72361.956672
-8141.120388,1001,72534.05885
-8960.641217,1001,72764.188674
-8446.225307,1001,72934.291169
-7910.457748,1001,73103.662302
-4699.602692,1001,73273.82909
-7687.261911,1001,73443.323201
-7906.182363,1001,73678.355169
-8336.522491,1001,73847.741185
-2833.087949,1001,74021.153329
-5763.752177,1001,74191.557448
