#{"t_start": 1655310912.2948008, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-11322.787768,1001,177.233929
-11058.920782,1001,355.962513
-11100.772891,1001,534.527533
-11125.047275,1001,715.406657
-11262.663278,1001,964.166157
-11281.314451,1001,1146.688796
-11245.901124,1001,1323.193806
-11200.002785,1001,1495.301103
-11312.495631,1001,1666.339594
-11214.447238,1001,1903.116459
-11485.070748,1001,2074.183766
-11062.049134,1001,2242.567448
-11170.806671,1001,2411.695705
-11550.78789,1001,2583.138012
-11271.826856,1001,2816.561951
-11121.917481,1001,2984.267794
-11159.88834,1001,3152.752065
-11604.39698,1001,3320.810315
-11644.254711,1001,3490.487842
-11413.826767,1001,3725.467168
-11757.416266,1001,3894.47863
-11546.049499,1001,4063.680408
-11842.154294,1001,4234.091878
-11518.384189,1001,4405.93345
-11828.11353,1001,4642.33208
-11913.362783,1001,4811.646135
-12002.534547,1001,4981.723528
-11614.425999,1001,5153.414347
-11568.645236,1001,5324.944848
-11784.655921,1001,5565.350655
-11984.673093,1001,5736.58792
-11965.199107,1001,5908.264317
-12038.637033,1001,6080.313555
-11826.276598,1001,6250.60873
-11999.134767,1001,6484.726766
-12042.451005,1001,6656.627316
-11876.657203,1001,6828.219377
-11741.658803,1001,6999.856786
-11766.283404,1001,7168.482592
-11645.626944,1001,7400.879403
-11910.090514,1001,7571.462866
-11787.755905,1001,7743.584288
-11828.329174,1001,7912.999649
-11902.271208,1001,8082.676908
-12032.404487,1001,8315.90715
-11645.820798,1001,8486.449312
-11981.304927,1001,8655.456741
-11998.995326,1001,8824.591914
-11962.965885,1001,8993.323921
-11813.837393,1001,9225.414371
-11781.466266,1001,9396.346057
-11856.501484,1001,9567.112277
-11886.425747,1001,9736.481315
-11700.210006,1001,9905.203293
-11894.233899,1001,10140.983797
-11755.450592,1001,10312.058812
-11461.916551,1001,10489.227388
-11463.912056,1001,10660.269905
-11535.794552,1001,10839.874388
-11592.813887,1001,11080.877323
-11629.485931,1001,11251.006214
-11310.163991,1001,11420.469688
-11445.947145,1001,11590.406981
-11390.817052,1001,11760.273891
-11431.713371,1001,11995.836742
-11151.494212,1001,12165.128298
-11133.436784,1001,12335.347205
-11115.419578,1001,12505.140178
-11201.841362,1001,12674.808135
