#{"t_start": 1655306628.0919733, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-8231.617566,1001,194.78618
-8231.815753,1001,389.282925
-8232.258427,1001,583.753188
-8233.515236,1001,778.808346
-8234.284992,1001,1576.592151
-8233.761993,1001,1779.390634
-8213.487287,1001,1972.849228
-8226.499924,1001,2166.752128
-8224.683331,1001,2362.107152
-8236.675085,1001,3008.638896
-8226.293488,1001,3211.595157
-8231.258149,1001,3398.869548
-8227.409746,1001,3588.627576
-8227.462041,1001,3780.13612
-8226.132533,1001,4408.574176
-8222.80218,1001,4608.433749
-8224.12133,1001,4798.917893
-8217.982369,1001,4991.674787
-8196.47096,1001,5181.786016
-8209.817911,1001,5716.886639
-8213.036674,1001,5922.949015
-8196.175509,1001,6116.529928
-8200.525854,1001,6311.961713
-8207.443582,1001,6502.125306
-8206.803608,1001,7034.382499
-8203.624742,1001,7237.027128
-8174.323904,1001,7427.742102
-8222.996858,1001,7619.24414
-8184.135767,1001,7811.030856
-8216.652772,1001,8181.835916
-8175.38451,1001,8396.966805
-8201.947982,1001,8590.01543
-8175.356253,1001,8783.554621
-8206.083991,1001,8974.532269
-8215.308197,1001,9329.817437
-8182.374035,1001,9554.016589
-8159.786702,1001,9753.571891
-8155.763979,1001,9946.903202
-8190.432192,1001,10139.39542
-8179.820178,1001,10435.271986
-8173.816195,1001,10632.40402
-8201.736718,1001,10844.427995
-8205.364055,1001,11029.259671
-8147.203696,1001,11214.894673
-8150.768114,1001,11524.476084
-8148.747837,1001,11713.25016
-8164.75024,1001,11927.556655
-8160.301311,1001,12118.82647
-8179.435732,1001,12308.357316
-8204.868076,1001,12601.833513
-8170.741642,1001,12792.836026
-8128.135909,1001,12993.128009
-8233.15618,1001,13206.503686
-8118.853768,1001,13393.289684
-8149.592282,1001,13723.14869
-8219.572863,1001,13913.603129
-8142.668748,1001,14106.186174
-8127.257552,1001,14324.125259
-8160.279443,1001,14516.696858
-8133.85025,1001,14879.121434
-8125.506662,1001,15070.669248
-8143.466613,1001,15259.857127
-8170.724879,1001,15483.429742
-8105.675168,1001,15667.648498
-8092.492372,1001,15955.849832
-8083.934247,1001,16141.924648
-8096.459668,1001,16329.145948
-8041.332949,1001,16539.796525
-8166.217767,1001,16742.789028
-8101.616587,1001,17028.469213
-8083.947672,1001,17194.206415
-8044.810593,1001,17383.991431
-8069.33178,1001,17575.192825
-8059.123446,1001,17797.967966
-8143.919244,1001,18101.861757
-8238.765247,1001,18292.171242
-8183.232108,1001,18482.153572
-8078.94603,1001,18671.829846
-8018.843936,1001,18873.834074
-8039.704052,1001,19168.377523
-8123.917567,1001,19352.264219
-8056.625976,1001,19535.606209
-8006.154106,1001,19720.690555
-8021.85805,1001,19908.198631
-8190.371557,1001,20264.04601
-7936.322562,1001,20449.459374
-7963.660557,1001,20636.950365
-8187.83646,1001,20821.940505
-8019.820265,1001,21014.862488
-7926.402092,1001,21353.607317
-8180.759514,1001,21537.207281
-7970.543745,1001,21722.315783
-7988.845088,1001,21908.091714
-8049.512557,1001,22106.850998
-7919.34489,1001,22456.07267
-7897.441531,1001,22642.554179
-7829.39197,1001,22826.948781
-7884.721356,1001,23011.888836
-8115.480981,1001,23225.157629
-7954.740811,1001,23511.500572
-7782.488877,1001,23695.305908
-7876.085973,1001,23882.027549
-7896.351411,1001,24065.261106
-7874.592593,1001,24266.754927
-7779.286093,1001,24573.24295
-7885.167514,1001,24758.208416
-7850.461756,1001,24942.99368
-7878.174371,1001,25131.395029
-7873.524844,1001,25329.537827
-7793.644803,1001,25658.919516
-7891.928803,1001,25848.528339
-7827.971591,1001,26039.499853
-7873.796966,1001,26231.613812
-7771.969422,1001,26419.780881
-7856.132602,1001,26804.157145
-7654.697869,1001,26991.288761
-7734.93975,1001,27176.817082
-7647.921762,1001,27363.444766
-7774.996251,1001,27553.082339
-7782.427813,1001,28150.999816
-7850.267702,1001,28341.127852
-7696.655429,1001,28528.788821
-7689.051862,1001,28714.318923
-7660.345847,1001,28898.716612
-7685.757921,1001,29424.344622
-7575.4225,1001,29612.503374
-7657.212053,1001,29802.216711
-7416.466366,1001,29993.530241
-7777.347569,1001,30187.067962
-7698.611575,1001,31003.841588
-7427.239092,1001,31195.518048
-7513.875927,1001,31386.857821
-7632.852467,1001,31579.816006
-7467.70367,1001,31775.106848
-7386.203046,1001,32556.260457
-7533.108055,1001,32747.090703
-7631.600175,1001,32937.212542
-7646.789054,1001,33127.563468
-7614.719393,1001,33321.625316
-7579.185196,1001,33899.544266
-7548.322825,1001,34090.452076
-7519.225399,1001,34279.721417
-7394.727471,1001,34468.929664
-7490.795911,1001,34659.228266
-7281.240251,1001,35358.118164
-7570.225474,1001,35547.583212
-7376.572687,1001,35733.079002
-7633.147623,1001,35916.712476
-7544.658066,1001,36103.713245
-7444.339607,1001,36699.396709
-7364.464583,1001,36884.578326
-7271.876,1001,37069.300309
-7338.752356,1001,37254.002955
-7466.220495,1001,37439.409708
-7335.26,1001,38006.057254
-7296.40381,1001,38193.158982
-7564.375255,1001,38378.724467
-7214.809268,1001,38565.304312
-7280.8606,1001,38752.656215
-7188.480895,1001,39407.266467
-7240.637833,1001,39598.757743
-7201.151461,1001,39788.352368
-7305.6388,1001,39981.473029
-7468.861562,1001,40175.500606
-7148.869805,1001,40900.142611
-7171.945971,1001,41090.833779
-7031.95038,1001,41282.255848
-7068.907434,1001,41470.094628
-7230.49871,1001,41657.494524
-7077.072819,1001,42147.435538
-6922.547388,1001,42335.218277
-7157.086338,1001,42520.495515
-7473.378523,1001,42709.092699
-7077.639523,1001,42893.901703
-7006.176558,1001,43487.704408
-6977.310454,1001,43680.964639
-7304.714458,1001,43870.796671
-7073.671965,1001,44061.54358
-7006.622427,1001,44251.97878
-7153.518492,1001,45113.984645
-7193.415554,1001,45306.072553
-6934.242392,1001,45496.911062
-6883.667642,1001,45688.921176
-7144.770347,1001,45880.77875
-7148.665282,1001,46585.687544
-6833.621937,1001,46789.389446
-7041.964306,1001,46980.987214
-7062.226982,1001,47171.197741
-7056.632815,1001,47359.767051
-6841.180134,1001,47668.798161
-7139.133081,1001,47885.244874
-6907.038503,1001,48070.907588
-7015.294892,1001,48259.154058
-6803.383159,1001,48448.422931
-7037.036218,1001,48732.510362
-6693.837195,1001,48936.647541
-6804.501581,1001,49137.679074
-6963.507305,1001,49326.907734
-6890.305068,1001,49515.990951
-6726.557141,1001,49837.705172
-6933.061029,1001,50034.080287
-6876.705949,1001,50260.727065
-6743.602011,1001,50452.32338
-6672.797257,1001,50645.522737
-6655.98234,1001,50963.38188
-6992.684902,1001,51152.446853
-6716.165063,1001,51358.297911
-6561.481253,1001,51561.04467
-6593.030416,1001,51751.382234
-6802.095465,1001,52106.986558
-6623.017365,1001,52294.217014
-6592.440815,1001,52492.387666
-6548.920757,1001,52698.060032
-6627.776995,1001,52885.471218
-6634.668602,1001,53178.748344
-6595.565785,1001,53367.384258
-6653.18356,1001,53555.218954
-6608.361163,1001,53775.024945
-6706.790297,1001,53962.07561
-6597.700839,1001,54261.964026
-6429.376825,1001,54451.091863
-6841.772685,1001,54634.895044
-6464.970151,1001,54803.035056
-6453.896442,1001,54969.260525
-6289.697813,1001,55201.085579
-6454.356009,1001,55366.956632
-6436.30857,1001,55533.112781
-6310.923609,1001,55701.452531
-6333.717954,1001,55867.362002
-6397.173975,1001,56226.812688
-6345.041168,1001,56417.147404
-6476.467518,1001,56604.921363
-6385.033443,1001,56821.350473
-6367.733023,1001,57019.668833
-6227.816442,1001,57449.831754
-6307.829939,1001,57645.128756
-6338.671197,1001,57845.470874
-6244.594806,1001,58063.708445
-6285.941616,1001,58255.129009
-6538.959157,1001,58540.288001
-6434.89388,1001,58727.777056
-6413.69228,1001,58913.274089
-6246.742975,1001,59124.189835
-6441.094018,1001,59323.704666
-6219.938463,1001,59628.827487
-6221.432853,1001,59819.130471
-6137.580956,1001,60008.307126
-6166.947006,1001,60205.458289
-6256.453596,1001,60426.149781
-6196.237671,1001,60716.674489
-6139.384387,1001,60909.20927
-6174.271875,1001,61104.110404
-6067.789477,1001,61297.502656
-6209.997171,1001,61512.51657
-6133.526675,1001,61822.170285
-5891.856239,1001,62016.106321
-6131.332154,1001,62210.243191
-6141.039823,1001,62400.75769
-6367.46135,1001,62599.366563
-6073.94762,1001,62985.327771
-6022.102228,1001,63177.040205
-6234.896834,1001,63363.391748
-6128.203316,1001,63550.69624
-5837.562426,1001,63735.976396
-6043.086104,1001,64173.736683
-5867.082442,1001,64359.604496
-6245.376786,1001,64547.906805
-5892.097519,1001,64734.572721
-5990.46873,1001,64923.078478
-6323.77242,1001,65492.92101
-5899.840075,1001,65681.829396
-5891.634931,1001,65868.582343
-6016.440742,1001,66061.542459
-5697.052024,1001,66253.587814
-5807.23645,1001,66804.87426
-5679.791177,1001,66993.485536
-5899.366029,1001,67182.115444
-5787.050084,1001,67371.726039
-5419.612477,907,67543.893897
-5352.859844,903,68111.330685
-4919.885217,808,68264.032458
-5547.747655,923,68440.661282
-5794.354369,1001,68629.227236
-5880.573479,1001,68814.849418
-5850.030289,1001,69002.781133
-5733.969135,1001,69661.017677
-5698.588335,1001,69857.192422
-5265.753087,905,70034.711856
-5915.384497,1001,70230.758596
-5242.021744,895,70407.013798
-4955.25039,845,70888.339864
-5621.086152,1001,71082.755857
-5569.362244,1001,71277.95985
-5507.22866,967,71468.658605
-5636.309796,985,71660.927411
-4980.825807,818,72140.196479
-5576.117533,1001,72337.94084
-5114.009664,818,72503.994195
-4965.258322,808,72652.814323
-5427.408114,964,72844.60642
-4955.831874,824,73006.534868
-5215.549489,881,73488.350493
-4908.784457,814,73650.859644
-4671.27783,776,73800.64006
-5313.985773,925,73977.539151
-4932.582677,833,74130.30919
-5329.89931,948,74313.989715
-4745.882515,789,74730.975608
-4545.320736,736,74874.619396
-4835.965227,795,75027.933684
-4670.862367,792,75175.739989
-5168.967934,900,75353.016527
-4835.038146,817,75516.108642
-5423.868219,1001,76081.104692
-5030.689023,883,76259.360337
-4937.777582,819,76417.926125
-4446.628418,740,76562.586365
-4899.83153,847,76718.239264
-5049.344773,861,76879.986116
-4710.816492,777,77455.257324
-4593.509535,774,77599.981551
-4603.098249,749,77740.11967
-4603.861618,749,77880.934799
-4790.778776,786,78029.878046
-4843.880534,809,78189.898275
-4545.565557,739,78756.656788
-4436.94945,749,78896.17366
-4317.42016,689,79026.12635
-4752.557806,814,79179.245355
-4473.741798,756,79322.063212
-4636.750465,769,79467.642056
-4643.279301,803,79620.431511
-4512.255806,732,80275.197374
-4414.700288,719,80410.349498
-4389.060119,735,80547.145842
-4603.924132,748,80688.855855
-5182.799038,828,80847.274687
-4529.146082,735,80987.958833
-4581.715609,782,81581.074939
-4781.176428,805,81732.253317
-4421.390387,723,81868.112725
-4560.547266,752,82010.915001
-4517.966228,738,82150.683654
-4780.832102,781,82295.005655
-4499.303837,751,82439.394881
-4502.049542,754,82905.509857
-4435.938487,729,83045.42747
-4321.837907,722,83178.80492
-4563.270315,741,83322.574401
-4499.562813,744,83467.724474
-4463.603963,738,83608.665853
-4460.673028,742,83746.539493
-4410.85002,726,84220.702708
-4306.61156,719,84357.578231
-4244.58509,722,84491.370885
-4344.601226,734,84630.867569
-4584.271327,777,84777.365937
-4162.820423,681,84904.578973
-4346.644831,705,85038.779447
-4222.116935,691,85601.020882
-4379.015185,722,85736.875969
-4258.177224,726,85873.420551
-4192.603547,705,86005.690367
-4313.215875,725,86143.049956
-4352.483207,733,86283.141077
-4255.015441,700,86417.004072
-4293.912192,692,86955.81081
-4305.840121,711,87092.314131
-4167.183938,693,87224.391901
-4190.854396,692,87356.665486
-4215.271738,732,87495.684037
-4430.890154,750,87636.632647
-4214.604492,720,87771.944074
-4147.732928,714,88330.338503
