#{"t_start": 1655306993.528186, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-7092.871581,1001,295.693108
-7604.204901,1001,593.039565
-7108.752956,1001,897.128086
-6903.564636,1001,1193.76653
-7031.103585,1001,1890.307355
-7180.792365,1001,2185.967932
-7871.64431,1001,2498.765354
-8217.621117,1001,2817.830317
-7541.290009,1001,3124.31838
-8061.606169,1001,3849.489011
-7442.346358,1001,4171.372235
-6671.746796,1001,4458.615383
-7249.140026,1001,4744.073886
-8028.352722,1001,5043.323773
-7704.918753,1001,5456.770559
-7311.55874,1001,5728.555036
-7505.086754,1001,6012.167935
-6963.948584,1001,6328.882315
-6931.052148,1001,6648.512454
-7715.09567,1001,7300.374485
-8158.324322,1001,7578.08907
-7547.823854,1001,7815.141745
-7199.138118,1001,8043.310091
-7740.386714,1001,8284.27736
-7943.726503,1001,8719.929198
-6899.808107,1001,8983.206934
-7378.470393,1001,9235.443303
-6987.595548,1001,9501.589421
-7621.740421,1001,9743.148073
-7047.160531,1001,10109.277863
-6938.988523,1001,10347.926315
-6971.728655,1001,10585.172769
-8150.29824,1001,10814.411066
-7435.696202,1001,11046.374909
-7692.722411,1001,11416.280129
-7398.767714,1001,11648.550812
-7476.143093,1001,11885.458561
-7445.348495,1001,12116.527263
-8214.099664,1001,12354.227823
-7746.025654,1001,12714.483908
-8207.349832,1001,12951.605485
-6976.183476,1001,13182.772001
-7991.000207,1001,13397.692985
-7592.204669,1001,13617.479094
-7234.414772,1001,13904.56533
-7117.124797,1001,14098.162618
-7791.044044,1001,14290.918931
-7315.954325,1001,14480.138433
-7122.801934,1001,14661.041734
-7148.066634,1001,14919.932474
-7908.032278,1001,15110.105783
-6977.331827,1001,15293.214469
-7183.063648,1001,15478.263601
-7825.972476,1001,15659.751138
-7551.133117,1001,15898.8677
-7275.449667,1001,16071.620439
-7155.709682,1001,16243.686715
-7715.974683,1001,16415.376137
-7995.262018,1001,16587.650811
-7684.286242,1001,16826.526667
-7762.447878,1001,16999.203404
-7391.561991,1001,17171.08655
