#{"t_start": 1675864293.1996996, "env_id": "fingers_multiprocessing-v0"}
r,l,t
-13.175067,1001,6.467801
-21.011532,1001,9.887893
-14.958049,1001,13.141432
-20.191632,1001,16.554679
-14.027399,1001,19.980792
-18.311057,1001,23.272107
-14.746894,1001,26.659382
-1.038022,150,27.167304
-22.076409,1001,30.577303
-5.747097,748,33.012831
-15.859824,1001,36.282493
-17.647693,1001,39.71139
-2.20395,322,40.84145
-18.782543,1001,44.146704
-0.388474,90,44.403651
-8.381496,1001,47.899787
-0.043099,18,48.00629
-0.179189,52,48.153683
-0.066607,21,48.216102
-0.050474,24,48.286864
-0.346904,79,48.519612
-0.108641,30,48.75445
-0.053739,24,48.838704
-8.506515,1001,52.108277
-0.54219,143,52.548518
-0.045335,17,52.600876
-0.059872,22,52.739769
-0.104812,26,52.838768
-0.159656,36,52.977401
-0.024474,10,53.006792
-0.150885,48,53.148316
-0.036658,12,53.190427
-0.013906,6,53.209194
-0.252942,62,53.462922
-0.042319,20,53.531975
-0.025436,10,53.575055
-0.578023,118,53.954158
-0.428912,132,54.391062
-0.018384,8,54.413934
-0.211866,80,54.642877
-0.107944,36,54.826038
-0.030982,10,54.857757
-0.057391,15,54.903898
-0.167917,40,55.028552
-0.184177,35,55.127516
-0.219484,49,55.266832
-0.083003,25,55.340134
-0.051672,14,55.381244
-0.075753,29,55.523653
-0.138839,36,55.62905
-0.174844,65,55.848998
-0.033689,10,55.88843
-0.120371,45,56.025712
-0.09273,27,56.153836
-0.045206,16,56.200005
-0.044699,14,56.240017
-0.029905,10,56.273186
-0.05393,18,56.326019
-0.078049,19,56.38225
-0.200995,42,56.505822
-0.018001,8,56.533884
-0.019602,8,56.56446
-0.139023,30,56.672488
-0.017086,7,56.696634
-0.031159,12,56.730936
-0.021858,8,56.754069
-0.037379,12,56.864417
-0.043184,14,56.907097
-0.129097,28,56.998036
-0.07739,18,57.058835
-0.07394,24,57.131014
-0.034474,14,57.173814
-0.059762,24,57.254947
-0.021335,9,57.283782
-5.961762,1001,60.63204
-0.123393,37,60.744761
-0.061832,23,60.844864
-0.034321,12,60.880075
-0.028892,10,60.962649
-0.054313,21,61.027427
-0.014603,7,61.049401
-0.023465,8,61.07656
-0.030821,12,61.11258
-0.016219,7,61.134703
-0.033535,15,61.179154
-0.050697,20,61.240793
-0.029365,11,61.274145
-0.02185,8,61.297033
-0.027428,10,61.327098
-0.090383,32,61.446073
-0.070698,24,61.521291
-0.072865,26,61.655216
-0.21233,47,61.793382
-0.082752,26,61.893196
-0.042686,18,61.94779
-0.029888,13,61.988239
-0.846769,185,62.579386
-0.034574,14,62.626107
-0.016914,8,62.650546
-0.051409,16,62.699692
-0.02595,10,62.733098
-0.031122,10,62.765811
-0.04525,14,62.848326
-0.025218,10,62.881003
-0.021286,10,62.916503
-5.430273,1001,66.249093
-0.064263,22,66.315199
-0.02315,8,66.391804
-0.034372,12,66.429594
-0.014484,6,66.448323
-0.021391,8,66.474713
-0.041635,12,66.510398
-0.027384,10,66.543019
-0.082012,26,66.62449
-0.013881,6,66.642994
-0.088457,22,66.721277
-0.022143,8,66.748455
-0.276161,66,66.982471
-0.013719,6,67.001344
-0.044811,14,67.044586
-0.071472,20,67.163726
-0.014128,6,67.182844
-0.077881,22,67.250662
-0.021848,8,67.277296
-0.029886,11,67.313226
-4.91556,1001,70.755228
-0.130413,56,70.941221
-0.013875,6,70.959092
-0.25256,68,71.157929
-0.040698,12,71.196288
-0.063776,22,71.313107
-0.013803,6,71.332052
-0.029695,13,71.372141
-0.057605,22,71.438479
-0.052997,20,71.493804
-0.026261,10,71.524616
-0.086405,22,71.593626
-0.023009,8,71.626945
-0.081019,28,71.713171
-0.016962,8,71.735386
-0.083808,22,71.798368
-0.021259,10,71.827959
-0.045468,16,71.874533
-0.109707,30,72.040783
-0.084292,24,72.113709
-0.111538,36,72.246485
-0.020485,10,72.27525
-0.023054,8,72.298369
-0.020702,8,72.324571
-0.035842,16,72.374926
-0.028655,10,72.408298
-0.023909,10,72.441162
-0.07459,24,72.512808
-0.013716,6,72.530743
-0.041095,14,72.574757
-0.103017,24,72.697374
-0.027509,10,72.730892
-0.048706,18,72.782809
-0.049739,20,72.84602
-0.086011,32,72.971982
-0.035187,14,73.014546
-0.048325,15,73.060635
-0.085409,24,73.130513
-0.147837,42,73.256271
-0.056691,16,73.363172
-0.013722,6,73.38224
-0.044276,16,73.431456
-0.021788,8,73.456638
-0.188223,39,73.577765
-0.030012,16,73.63062
-0.049119,16,73.679882
-0.104199,34,73.779555
-0.054278,20,73.844672
-0.083213,24,73.91648
-0.014646,7,73.967679
-0.025187,10,74.007745
-0.013801,6,74.078755
-0.034481,12,74.11387
-0.014856,6,74.138143
-0.055962,18,74.193966
-0.03659,15,74.25017
-0.02894,10,74.288006
-0.052145,17,74.342026
-0.049532,16,74.39127
-0.045385,18,74.444152
-0.013943,6,74.461496
-0.038869,18,74.514955
-0.035694,12,74.550392
-0.022291,11,74.584087
-0.021694,9,74.61484
-0.019291,8,74.645466
-0.018127,8,74.672035
-0.020198,8,74.695224
-0.077816,20,74.805432
-0.017119,8,74.827727
-0.060434,22,74.894125
-0.04306,16,74.941757
-0.033025,12,74.993677
-0.024856,10,75.022281
-0.035513,12,75.059024
-0.025693,8,75.082103
-0.020523,8,75.105397
-0.045549,12,75.142228
-0.033532,14,75.183414
-0.062029,19,75.243238
-0.070005,24,75.316926
-0.01804,8,75.342566
-0.032955,12,75.377921
-0.013833,6,75.444037
-0.024057,9,75.473033
-0.023211,12,75.508719
-0.023229,8,75.531357
-0.023807,10,75.561723
-0.01698,8,75.585223
-0.017523,8,75.608325
-0.021535,10,75.638805
-0.072319,22,75.708175
-3.773414,1001,78.975827
-0.0254,10,79.032754
-0.022941,10,79.063254
-0.026335,10,79.095883
-0.018213,8,79.125429
-0.020631,8,79.15198
-0.024933,10,79.183724
-0.03844,16,79.229995
-0.045813,18,79.285222
-0.060457,21,79.347626
-0.029682,12,79.447653
-0.013716,6,79.466985
-0.025117,10,79.497813
-0.031814,15,79.549695
-0.018149,8,79.600865
-0.046111,14,79.673016
-0.024953,10,79.709591
-0.017087,8,79.733914
-0.094939,41,79.865795
-0.023205,8,79.891193
-0.021836,8,79.915074
-0.021805,8,79.941684
-0.037806,14,79.989666
-0.01387,6,80.032326
-0.069745,26,80.112401
-0.03193,14,80.158842
-0.027882,10,80.23922
-0.039069,14,80.282399
-0.042693,18,80.340452
-0.037035,15,80.385947
-0.01374,6,80.405582
-0.035459,14,80.448549
-0.02114,10,80.478167
-0.029838,14,80.526127
-0.021783,8,80.549381
-0.020547,8,80.575325
-0.069769,22,80.645486
-0.025242,10,80.678048
-0.027958,13,80.716512
-0.038489,14,80.760557
-0.014078,6,80.789194
-0.026546,10,80.820979
-0.022386,10,80.849599
-0.021324,10,80.930226
-0.034746,12,80.966191
-0.013724,6,80.985087
-0.027309,12,81.056957
-0.028648,10,81.09149
-0.021089,10,81.12225
-0.074624,26,81.194376
-0.022018,8,81.218709
-0.039966,14,81.260329
-0.013888,6,81.277984
-0.013791,6,81.298976
-0.020982,8,81.325264
-0.025907,12,81.362671
-0.013727,6,81.380209
-0.037107,15,81.423235
-0.030027,12,81.461445
-0.029381,12,81.496973
-0.019991,10,81.527393
-0.030806,12,81.611859
-0.050382,17,81.661077
-0.013851,6,81.67918
-0.023355,8,81.703331
-0.022513,10,81.733065
-0.013716,6,81.750887
-0.020652,9,81.777367
-0.029968,10,81.808262
-0.0144,6,81.827688
-0.016951,8,81.850676
-0.027637,10,81.881398
-0.016872,8,81.908213
-0.056946,18,81.958834
-0.022151,8,81.980332
-0.013716,6,81.999837
-0.083001,24,82.094646
-0.017818,9,82.122614
-0.014284,6,82.141886
-0.043689,14,82.183507
-0.026207,11,82.218005
-0.029287,12,82.304348
-0.054901,18,82.356161
-0.021434,9,82.38341
-0.023018,8,82.410373
-0.013735,6,82.428721
-0.109494,42,82.552586
-0.042206,14,82.595308
-0.023788,11,82.630871
-0.02624,10,82.663205
-0.034349,16,82.711422
-0.035725,18,82.764365
-0.018155,8,82.789751
-0.016866,8,82.813485
-0.033263,12,82.851035
-0.013724,6,82.870093
-0.029917,10,82.952276
-0.028651,10,82.984391
-0.013781,6,83.00209
-0.027971,12,83.069867
-0.021928,8,83.101551
-0.013769,6,83.127283
-0.016849,8,83.160992
-0.032814,13,83.211352
-0.018089,8,83.243973
-0.050976,17,83.297948
-0.030059,14,83.342139
-0.021855,8,83.366691
-0.013747,6,83.386231
-0.027005,12,83.425444
-0.013728,6,83.445039
-0.020321,10,83.479219
-0.021216,10,83.5119
-0.026107,10,83.545845
-0.04781,16,83.594415
-0.028716,10,83.625688
-0.046745,20,83.746986
-0.013988,6,83.767906
-0.013845,6,83.786466
-0.019886,10,83.816746
