#{"t_start": 1675862882.1314266, "env_id": "fingers_multiprocessing-v0"}
r,l,t
-57.759484,1001,7.606285
-70.21978,1001,12.368176
-37.081228,1001,16.991571
-93.774872,1001,21.825275
-54.720638,1001,26.567353
-118.794919,1001,31.341456
-98.380603,1001,36.11056
-53.033033,1001,40.957456
-42.317816,1001,45.710829
-76.548842,1001,50.492832
-29.800017,1001,55.355271
-114.238344,1001,60.069896
-31.681081,1001,65.055014
-23.012524,1001,69.906362
-61.051479,1001,74.802564
-73.763223,1001,79.542923
-97.37309,1001,84.502756
-76.252853,1001,89.204001
-55.728563,1001,94.109358
-62.285642,1001,98.990319
-55.348782,1001,103.856344
-41.214954,1001,108.657277
-26.634282,1001,113.659155
-44.520334,1001,118.5257
-52.195521,1001,123.480796
-51.100219,1001,128.333723
-37.898299,1001,133.161363
-27.555253,1001,138.115529
-28.323017,1001,142.955106
-63.638382,1001,147.883942
-46.248848,1001,152.738319
-70.406351,1001,157.730624
-10.34937,393,159.653364
-20.321744,1001,164.497883
-54.121497,1001,169.51549
-40.534692,1001,174.580941
-41.500069,1001,179.560915
-48.371829,1001,184.433263
-52.481888,1001,189.422843
-52.896424,1001,194.284634
-34.278772,1001,199.293885
-52.639007,1001,204.149567
-40.783971,1001,209.114356
-48.106036,1001,213.959445
-27.285564,1001,218.914327
-26.16304,1001,223.877102
-28.352315,1001,228.901251
-43.022808,1001,233.80514
-50.051313,1001,238.8548
-38.379835,1001,243.803984
-24.205221,1001,248.810114
-57.444111,1001,253.677638
-26.35607,1001,258.767357
-38.539085,1001,263.621899
-52.138246,1001,268.575678
-26.896934,1001,273.553025
-25.163738,1001,278.505484
-22.789463,1001,283.542656
-62.999518,1001,288.569716
-49.765596,1001,293.569371
-40.49129,1001,298.539025
-45.550852,1001,303.560344
-53.371498,1001,308.777814
-19.771617,1001,314.292015
-34.991501,1001,319.846954
-25.09967,1001,325.244547
-21.380156,1001,331.015889
-33.856624,1001,336.133593
-28.938297,1001,341.583742
-25.831045,1001,346.576092
-33.360366,1001,351.643089
-26.366057,1001,356.511376
-39.243459,1001,361.468307
-22.983775,1001,366.553989
-28.341054,1001,371.546596
-27.446402,1001,376.524379
-33.862731,1001,381.37779
-15.18261,1001,386.401934
-27.023769,1001,391.32784
-37.879324,1001,396.353513
-9.392694,1001,401.295819
-38.533544,1001,406.402266
-39.087479,1001,411.352168
-44.019787,1001,416.411993
-63.016111,1001,421.422264
-38.778185,1001,426.449975
-21.061015,1001,431.438983
-34.345115,1001,436.49782
-80.856718,1001,441.415315
-10.374598,1001,446.390597
-12.879598,1001,451.242391
-54.819367,1001,456.29773
-30.146485,1001,461.252834
-24.279945,1001,466.318931
-10.48134,1001,471.274294
-46.44177,1001,476.260898
-16.853751,1001,481.198877
-43.668635,1001,486.291941
-41.970243,1001,491.266214
-34.705338,1001,496.238427
-35.701493,1001,501.200536
-70.999762,1001,506.179207
-17.455432,1001,511.116471
-28.839214,1001,516.082511
-34.272783,1001,521.153617
-17.437403,1001,526.126368
-61.002446,1001,531.200335
-14.679094,1001,536.175931
-75.93683,1001,541.27101
-50.160342,1001,546.319097
-31.639634,1001,551.374501
-25.49271,1001,556.303196
-40.067585,1001,561.345119
-37.84934,1001,566.35022
-27.532895,1001,571.374118
-31.622181,1001,576.243632
-43.347011,1001,581.29868
-24.758998,1001,586.272771
-34.617204,1001,591.252225
-18.821943,1001,596.219861
-32.250267,1001,601.242646
-50.978615,1001,606.189017
-24.939909,1001,611.244609
-27.463493,1001,616.232449
-58.549968,1001,621.370328
-32.800519,1001,626.311249
-50.632947,1001,631.414525
-55.214125,1001,636.369661
-19.297723,1001,641.367724
-22.594882,1001,646.392882
-29.933854,1001,651.423583
-54.701553,1001,656.406191
-36.671995,1001,661.356004
-43.031325,1001,666.350104
-29.586524,1001,671.279543
-27.674102,1001,676.259387
-24.856895,1001,681.319472
-59.743407,1001,686.357556
-29.21226,1001,691.660721
-30.23247,1001,697.168713
-35.131162,1001,702.352936
-33.095689,1001,707.432677
-33.019553,1001,713.243816
-56.811232,1001,718.310209
-19.944623,1001,723.374832
-21.042958,1001,728.341095
-29.285893,1001,733.745022
-36.430869,1001,738.923794
-31.607337,1001,744.117591
-47.700434,1001,749.411335
-16.36806,1001,754.434231
-44.070278,1001,759.295657
-50.766028,1001,764.039585
-17.901331,1001,768.847843
-57.932426,1001,773.586444
-15.762384,1001,778.388284
-38.829271,1001,783.124613
-31.042415,1001,787.972551
-24.636468,1001,792.747921
-45.630766,1001,797.569618
-16.056809,1001,802.359696
-21.294708,1001,807.077195
-29.058735,1001,811.968238
-67.08198,1001,817.071881
-32.212251,1001,822.439904
-18.649314,1001,827.650196
-34.951957,1001,832.649122
-33.650593,1001,837.390331
-37.772153,1001,842.577796
-58.78444,1001,847.592793
-33.317374,1001,854.68857
-39.989669,1001,860.206235
-32.377021,1001,865.198442
-23.771509,1001,870.699234
-34.035602,1001,875.541857
-15.623454,1001,880.42288
-0.463899,28,880.547573
-20.430948,1001,885.302921
-55.261351,1001,890.493167
-10.560498,1001,895.533459
-26.721765,1001,901.74687
-57.942284,1001,907.147184
-61.676337,1001,912.461902
-25.45173,1001,917.913373
-42.984349,1001,923.405464
-58.855809,1001,928.324545
-40.539421,1001,933.510998
-29.020896,1001,939.074472
-29.047373,1001,944.428282
-35.864681,1001,949.764156
-55.057076,1001,955.115208
-20.34487,1001,960.527701
-23.427039,1001,965.963166
-34.112022,1001,971.098172
-27.739706,1001,976.415032
-37.900862,1001,981.697598
-26.301982,1001,987.027454
-37.841254,1001,992.266279
